1,Hocus Pocus,Magic Hat,Light American Wheat Ale or Lager
2,Grimbergen Blonde,Brouwerij Alken-Maes,
3,Widdershins Barleywine,Left Hand Brewing Company,
4,Lucifer,Brouwerij Liefmans,
5,Bitter,Ridgeway Brewing,
6,Winter Warmer,Youngs & Company Brewery,Old Ale
7,Winter Welcome 2007-2008,Samuel Smith Old Brewery (Tadcaster),
8,Oatmeal Stout,Samuel Smith Old Brewery (Tadcaster),American-Style Stout
9,Espresso Porter,Empyrean Brewing Company,
10,Chocolate Stout,Fort Collins Brewery,American-Style Stout
11,Hitachino Nest Real Ginger Brew,Kiuchi Shuzou Goushi Kaisya,
12,JuJu Ginger,Left Hand Brewing Company,
13,The Kidd Lager,Fort Collins Brewery,German-Style Schwarzbier
14,Imperial Stout,Samuel Smith Old Brewery (Tadcaster),American-Style Stout
15,Oak-Aged Belgian Tripel,Upstream Brewing Company at Legacy,
16,Ultrablonde,Brasserie d'Ecaussinnes,
17,Wiesen Edel Weisse,Private Weissbierbrauerei G. Schneider & Sohn GmbH,South German-Style Hefeweizen
18,Old Foghorn 2001,Anchor Brewing,
19,Framboise,Brasserie La Choulette,
20,Cow Palace Scotch Ale 1998,Egan Brewing,Scotch Ale
21,Bigfoot 2001,Sierra Nevada Brewing Co.,
22,Bigfoot 2002,Sierra Nevada Brewing Co.,
23,Bigfoot 2003,Sierra Nevada Brewing Co.,
24,Bigfoot 2004,Sierra Nevada Brewing Co.,
25,Bigfoot 2005,Sierra Nevada Brewing Co.,
26,Winter Ale,Summit Brewing,Old Ale
27,Full Moon Winter Ale,Molson Breweries of Canada,Other Belgian-Style Ales
28,Odell IPA,Odell Brewing,American-Style India Pale Ale
29,Ornery Amber Lager,Tommyknocker Brewery and Pub,American-Style Lager
30,Cutthroat Porter,Odell Brewing,Porter
31,Maple Nut Brown Ale Ale,Tommyknocker Brewery and Pub,American-Style Brown Ale
32,Cocoa Porter,Tommyknocker Brewery and Pub,
33,Jenlain Blonde,Brasserie Duyck,
34,Blonde,Brasserie La Choulette,
35,Flemish Primitive Wild Ale (Demon Fish),De Proef Brouwerij,
36,Witkap-Pater Tripel,Brouwerij Slaghmuylder,
37,Winter Cheer,Spanish Peaks Brewing,American-Style Brown Ale
38,Canaster Winter Scotch,Kleinbrouwerij de Glazen Toren,
39,16,Unibroue,
40,Quelque Chose,Unibroue,Belgian-Style Fruit Lambic
41,Kriek,Brouwerij De Ranke,
42,Bi̬re Darbyste,Brasserie de Blaugies,Light American Wheat Ale or Lager
43,Maracaibo Especial,Jolly Pumpkin Artisan Ales,American-Style Brown Ale
44,Flemish Primitive Wild Ale (Pin Head),De Proef Brouwerij,
45,Calabaza Blanca,Jolly Pumpkin Artisan Ales,Other Belgian-Style Ales
46,Porter,Nebraska Brewing Company,Porter
47,Cardinal Pale Ale,Nebraska Brewing Company,American-Style Pale Ale
48,Zinnebir Xmas,Brasserie de la Senne,
49,Bridal Ale 2005,Pelican Pub & Brewery,
50,Zinnebir,Brasserie de la Senne,American-Style Pale Ale
51,Saison Imperiale,De Proef Brouwerij,
52,La Moneuse,Brasserie de Blaugies,
53,Red Sled Winter Ale,Nebraska Brewing Company,
54,Christmas Ale 2007,Anchor Brewing,
55,Equinox Dark Belgian Winter,Brasserie de la Senne,
56,Serafijn Christmas Angel,Microbrouwerij Achilles,
57,Obovoid Empirical Stout,Boulder Beer Company,American-Style Imperial Stout
58,Furious Beer,Surly Brewing,American-Style India Pale Ale
59,Bender Beer,Surly Brewing,American-Style Brown Ale
